x_value,total_1,total_2
0,1000,1000
1,997,1003
2,992,1004
3,988,1004
4,990,1010
5,988,1014
6,995,1017
7,997,1013
8,993,1008
9,994,1009
10,1000,1008
11,1003,1008
12,998,1005
13,1005,1001
14,1012,1001
15,1011,1000
16,1012,996
17,1015,1002
18,1020,1006
19,1027,1008
20,1026,1009
21,1032,1010
22,1035,1009
23,1041,1010
24,1042,1016
25,1040,1015
26,1041,1016
27,1039,1020
28,1044,1024
29,1048,1025
30,1042,1024
31,1043,1019
32,1048,1025
33,1055,1029
34,1059,1030
35,1067,1025
36,1073,1023
37,1074,1023
38,1082,1023
39,1085,1026
40,1084,1028
41,1080,1032
42,1074,1036
43,1076,1041
44,1077,1037
45,1078,1032
46,1082,1035
47,1089,1039
48,1093,1036
49,1089,1042
50,1085,1047
51,1084,1048
52,1079,1053
53,1081,1048
54,1079,1046
55,1082,1045
56,1088,1046
57,1095,1041
58,1103,1041
59,1103,1046
60,1102,1045
61,1098,1045
62,1105,1041
63,1112,1038
64,1109,1037
65,1110,1034
66,1110,1034
67,1112,1034
68,1111,1038
69,1117,1035
70,1120,1035
71,1121,1041
72,1128,1044
73,1134,1047
74,1128,1042
75,1128,1038
76,1126,1043
77,1124,1042
78,1127,1038
79,1125,1042
80,1133,1037
81,1132,1038
82,1137,1038
83,1134,1035
84,1138,1037
85,1137,1042
86,1141,1047
87,1141,1049
88,1140,1048
89,1139,1053
90,1137,1050
91,1138,1049
92,1146,1052
93,1153,1048
94,1155,1046
95,1154,1043
96,1157,1038
97,1155,1038
98,1158,1034
99,1157,1036
100,1152,1036
101,1154,1037
102,1157,1042
103,1158,1041
104,1161,1043
105,1167,1045
106,1174,1051
107,1177,1057
108,1173,1055
109,1181,1058
110,1184,1055
111,1183,1061
112,1181,1059
113,1182,1062
114,1176,1065
115,1178,1067
116,1173,1071
117,1176,1076
118,1176,1079
119,1170,1076
120,1176,1079
121,1170,1076
122,1166,1071
123,1163,1070
124,1168,1069
125,1166,1067
126,1168,1071
127,1170,1072
128,1174,1078
129,1180,1079
130,1184,1075
131,1182,1080
132,1178,1076
133,1178,1076
134,1185,1075
135,1181,1077
136,1180,1082
137,1174,1084
138,1178,1086
139,1174,1090
140,1169,1089
141,1172,1092
142,1177,1089
143,1183,1088
144,1178,1088
145,1182,1094
146,1188,1092
147,1184,1092
148,1188,1097
149,1185,1097
150,1187,1097
151,1190,1099
152,1198,1097
153,1199,1094
154,1207,1089
155,1213,1085
156,1217,1085
157,1216,1083
158,1215,1081
159,1219,1080
160,1214,1076
161,1220,1075
162,1221,1077
163,1228,1080
164,1232,1079
165,1229,1083
166,1237,1082
167,1245,1084
168,1245,1081
169,1239,1077
170,1245,1082
171,1246,1080
172,1251,1077
173,1245,1081
174,1248,1086
175,1256,1082
176,1262,1085
177,1267,1080
178,1261,1081
179,1268,1078
180,1270,1080
181,1273,1085
182,1271,1089
183,1269,1085
184,1268,1081
185,1265,1084
186,1266,1079
187,1273,1084
188,1276,1080
189,1277,1081
190,1276,1085
191,1279,1091
192,1285,1091
193,1289,1087
194,1284,1087
195,1288,1092
196,1289,1087
197,1296,1082
198,1302,1080
199,1301,1075
200,1296,1079
201,1303,1084
202,1305,1081
203,1306,1081
204,1300,1081
205,1299,1086
206,1295,1086
207,1289,1091
208,1284,1090
209,1285,1089
210,1282,1091
211,1285,1086
212,1283,1086
213,1281,1085
214,1284,1088
215,1282,1088
216,1276,1083
217,1283,1084
218,1288,1080
219,1285,1085
220,1288,1084
221,1288,1081
222,1287,1076
223,1293,1081
224,1298,1077
225,1303,1074
226,1308,1076
227,1310,1072
228,1315,1069
229,1323,1067
230,1317,1069
231,1321,1075
232,1327,1077
233,1321,1072
234,1328,1075
235,1333,1073
236,1327,1071
237,1331,1067
238,1333,1073
239,1334,1078
240,1332,1077
241,1326,1083
242,1324,1082
243,1331,1086
244,1332,1090
245,1334,1092
246,1338,1093
247,1336,1088
248,1339,1092
249,1335,1096
250,1333,1097
251,1337,1095
252,1331,1094
253,1337,1092
254,1332,1088
255,1330,1084
256,1326,1086
257,1322,1085
258,1322,1088
259,1322,1088
260,1322,1085
261,1329,1090
262,1327,1090
263,1325,1093
264,1329,1099
265,1334,1097
266,1342,1097
267,1343,1099
268,1341,1103
269,1345,1102
270,1351,1100
271,1346,1101
272,1346,1107
273,1350,1103
274,1354,1103
275,1358,1098
276,1358,1093
277,1358,1095
278,1366,1101
279,1367,1100
280,1367,1101
281,1371,1100
282,1368,1106
283,1366,1103
284,1360,1099
285,1358,1099
286,1362,1095
287,1365,1094
288,1366,1097
289,1364,1094
290,1370,1098
291,1367,1097
292,1372,1101
293,1379,1099
294,1384,1104
295,1390,1108
296,1390,1110
297,1395,1113
298,1403,1110
299,1401,1106
300,1398,1110
301,1398,1107
302,1400,1102
303,1406,1105
304,1408,1109
305,1410,1112
306,1404,1107
307,1400,1113
308,1400,1114
309,1402,1120
310,1404,1117
311,1412,1118
312,1417,1122
313,1415,1118
314,1421,1118
315,1416,1121
316,1410,1127
317,1413,1132
318,1420,1138
319,1423,1138
320,1429,1144
321,1423,1147
322,1423,1148
323,1429,1149
324,1425,1151
325,1422,1149
326,1419,1155
327,1416,1151
328,1419,1151
329,1413,1155
330,1410,1156
331,1413,1153
332,1415,1155
333,1421,1150
334,1425,1148
335,1427,1149
336,1428,1146
337,1428,1149
338,1432,1153
339,1438,1157
340,1440,1160
341,1447,1164
342,1455,1161
343,1462,1158
344,1456,1157
345,1463,1162
346,1460,1164
347,1456,1163
348,1459,1168
349,1464,1172
350,1472,1171
351,1473,1167
352,1470,1168
353,1477,1166
354,1471,1172
355,1477,1178
356,1485,1184
357,1485,1189
358,1489,1188
359,1489,1194
360,1493,1197
361,1498,1199
362,1502,1205
363,1505,1210
364,1512,1208
365,1509,1208
366,1511,1207
367,1507,1206
368,1512,1204
369,1507,1201
370,1513,1201
371,1510,1202
372,1515,1204
373,1513,1209
374,1507,1207
375,1511,1213
376,1517,1219
377,1524,1220
378,1531,1223
379,1527,1228
380,1527,1223
381,1533,1226
382,1537,1221
383,1537,1225
384,1538,1231
385,1535,1235
386,1533,1232
387,1538,1229
388,1534,1233
389,1533,1239
390,1537,1237
391,1536,1240
392,1536,1240
393,1530,1235
394,1525,1236
395,1520,1239
396,1520,1245
397,1528,1241
398,1525,1238
399,1531,1235
400,1530,1237
401,1531,1236
402,1536,1234
403,1543,1230
404,1539,1235
405,1541,1241
406,1546,1237
407,1553,1232
408,1558,1235
409,1560,1241
410,1566,1246
411,1565,1246
412,1564,1241
413,1565,1245
414,1570,1244
415,1577,1241
416,1579,1242
417,1578,1248
418,1585,1254
419,1586,1259
420,1582,1264
421,1585,1262
422,1582,1262
423,1584,1259
424,1589,1262
425,1595,1263
426,1597,1260
427,1602,1257
428,1602,1254
429,1605,1249
430,1603,1248
431,1600,1254
432,1599,1254
433,1606,1260
434,1610,1265
435,1614,1263
436,1620,1265
437,1627,1268
438,1623,1272
439,1623,1271
440,1623,1272
441,1627,1278
442,1628,1275
443,1635,1281
444,1643,1286
445,1637,1291
446,1641,1294
447,1641,1292
448,1649,1297
449,1657,1298
450,1664,1293
451,1672,1299
452,1667,1296
453,1675,1301
454,1673,1306
455,1674,1310
456,1673,1314
457,1669,1309
458,1674,1312
459,1671,1314
460,1675,1319
461,1681,1324
462,1687,1319
463,1690,1318
464,1687,1318
465,1694,1315
466,1689,1315
467,1693,1318
468,1701,1324
469,1696,1325
470,1691,1322
471,1691,1324
472,1690,1319
473,1696,1323
474,1697,1318
475,1700,1314
476,1705,1312
477,1712,1318
478,1710,1317
479,1716,1323
480,1717,1328
481,1719,1330
482,1727,1333
483,1732,1336
484,1728,1333
485,1722,1337
486,1718,1339
487,1716,1343
488,1717,1343
489,1712,1349
490,1715,1355
491,1713,1355
492,1716,1360
493,1715,1361
494,1718,1358
495,1720,1361
496,1716,1362
497,1718,1361
498,1713,1359
499,1716,1355
500,1720,1360
501,1724,1355
502,1721,1357
503,1721,1358
504,1722,1363
505,1721,1358
506,1721,1364
507,1723,1363
508,1717,1363
509,1722,1360
510,1717,1356
511,1725,1351
512,1719,1348
513,1723,1344
514,1723,1339
515,1731,1343
516,1728,1346
517,1723,1346
518,1718,1348
519,1716,1346
520,1716,1352
521,1722,1348
522,1717,1353
523,1724,1349
524,1726,1352
525,1729,1348
526,1725,1354
527,1726,1358
528,1726,1360
529,1727,1364
530,1723,1363
531,1722,1366
532,1726,1363
533,1728,1358
534,1724,1358
535,1720,1359
536,1715,1363
537,1715,1361
538,1723,1356
539,1725,1352
540,1720,1350
541,1717,1346
542,1723,1350
543,1726,1346
544,1720,1346
545,1723,1342
546,1724,1342
547,1719,1340
548,1717,1346
549,1716,1347
550,1717,1350
551,1720,1346
552,1720,1346
553,1721,1351
554,1725,1349
555,1723,1349
556,1726,1344
557,1732,1339
558,1731,1335
559,1726,1340
560,1731,1339
561,1732,1337
562,1738,1337
563,1742,1337
564,1737,1341
565,1731,1347
566,1739,1349
567,1738,1346
568,1743,1341
569,1751,1337
570,1746,1333
571,1751,1335
572,1748,1332
573,1749,1329
574,1752,1327
575,1748,1330
576,1743,1327
577,1739,1325
578,1744,1325
579,1747,1322
580,1744,1327
581,1748,1329
582,1745,1330
583,1747,1332
584,1744,1338
585,1748,1341
586,1742,1337
587,1737,1338
588,1732,1337
589,1736,1333
590,1730,1329
591,1725,1325
592,1720,1326
593,1722,1330
594,1716,1327
595,1722,1329
596,1718,1333
597,1714,1337
598,1722,1340
599,1718,1338
600,1726,1333
601,1720,1330
602,1723,1334
603,1718,1337
604,1713,1343
605,1709,1340
606,1715,1338
607,1710,1340
608,1715,1337
609,1711,1337
610,1713,1339
611,1709,1342
612,1712,1348
613,1706,1354
614,1705,1352
615,1702,1357
616,1696,1356
617,1697,1362
618,1701,1358
619,1702,1355
620,1700,1351
621,1706,1357
622,1714,1357
623,1722,1361
624,1728,1363
625,1728,1358
626,1731,1354
627,1738,1358
628,1744,1363
629,1740,1363
630,1747,1362
631,1751,1364
632,1750,1364
633,1750,1368
634,1758,1369
635,1759,1369
636,1754,1366
637,1757,1365
638,1752,1367
639,1746,1371
640,1749,1374
641,1746,1373
642,1745,1375
643,1745,1380
644,1746,1380
645,1751,1383
646,1745,1381
647,1747,1379
648,1753,1376
649,1761,1380
650,1761,1376
651,1763,1374
652,1770,1379
653,1765,1378
654,1770,1378
655,1772,1383
656,1770,1379
657,1764,1378
658,1772,1380
659,1767,1384
660,1771,1384
661,1772,1389
662,1774,1390
663,1774,1391
664,1772,1395
665,1776,1401
666,1775,1404
667,1781,1406
668,1786,1409
669,1794,1412
670,1794,1410
671,1791,1411
672,1789,1407
673,1789,1402
674,1788,1408
675,1782,1405
676,1785,1403
677,1780,1409
678,1784,1405
679,1789,1403
680,1784,1400
681,1783,1397
682,1784,1397
683,1790,1396
684,1794,1399
685,1788,1395
686,1795,1396
687,1796,1396
688,1793,1399
689,1797,1405
690,1798,1403
691,1805,1407
692,1802,1404
693,1799,1410
694,1799,1405
695,1805,1402
696,1805,1399
697,1807,1396
698,1810,1393
699,1808,1389
700,1803,1386
701,1810,1388
702,1807,1394
703,1813,1395
704,1810,1395
705,1814,1391
706,1820,1388
707,1824,1391
708,1821,1386
709,1826,1386
710,1827,1390
711,1829,1385
712,1828,1384
713,1830,1388
714,1832,1389
715,1840,1388
716,1838,1387
717,1832,1387
718,1832,1384
719,1836,1381
720,1843,1385
721,1850,1388
722,1857,1386
723,1860,1392
724,1868,1395
725,1868,1393
726,1872,1389
727,1875,1393
728,1872,1399
729,1868,1400
730,1867,1406
731,1874,1409
732,1877,1409
733,1874,1414
734,1875,1412
735,1876,1414
736,1871,1410
737,1875,1412
738,1876,1409
739,1874,1404
740,1869,1399
741,1869,1395
742,1869,1400
743,1870,1406
744,1874,1405
745,1869,1407
746,1867,1413
747,1872,1415
748,1880,1414
749,1876,1417
750,1878,1414
751,1881,1420
752,1884,1417
753,1889,1417
754,1885,1417
755,1892,1416
756,1900,1415
757,1900,1411
758,1903,1411
759,1898,1415
760,1903,1411
761,1902,1417
762,1898,1412
763,1905,1414
764,1899,1417
765,1900,1417
766,1908,1419
767,1902,1420
768,1906,1425
769,1908,1429
770,1904,1433
771,1912,1430
772,1912,1436
773,1919,1432
774,1923,1437
775,1926,1434
776,1926,1437
777,1930,1442
778,1937,1445
779,1940,1445
780,1939,1449
781,1946,1447
782,1942,1442
783,1944,1444
784,1952,1441
785,1947,1437
786,1949,1440
787,1943,1439
788,1937,1438
789,1933,1443
790,1938,1438
791,1944,1441
792,1941,1437
793,1939,1432
794,1938,1434
795,1946,1439
796,1954,1444
797,1950,1446
798,1957,1444
799,1957,1448
800,1962,1451
801,1965,1452
802,1964,1453
803,1964,1449
804,1964,1453
805,1959,1455
806,1957,1459
807,1961,1455
808,1967,1457
809,1968,1455
810,1965,1454
811,1964,1456
812,1968,1452
813,1976,1448
814,1974,1448
815,1968,1443
816,1963,1448
817,1957,1452
818,1958,1450
819,1961,1450
820,1961,1448
821,1968,1447
822,1971,1451
823,1968,1446
824,1975,1446
825,1982,1443
826,1979,1448
827,1975,1443
