epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5048,2.40062,4.13455,1.65018,0.00679,0.50992,0.0457,0.01528,2.44927,3.71157,1.37099,0.000410539,0.000410539,0.000410539
2,25.2058,1.92445,2.30447,1.34752,0.46496,0.58746,0.4927,0.18764,2.32097,2.37196,1.5177,0.000806733,0.000806733,0.000806733
3,34.1645,1.79706,2.01259,1.32434,0.487,0.68094,0.50868,0.2225,2.16852,2.02025,1.4894,0.0011823,0.0011823,0.0011823
4,42.716,1.73073,1.76819,1.30147,0.57439,0.61872,0.55337,0.22601,2.22246,1.86205,1.56372,0.00115719,0.00115719,0.00115719
5,51.6807,1.67933,1.61135,1.26587,0.56602,0.73513,0.597,0.27391,2.00661,1.75623,1.41959,0.00112625,0.00112625,0.00112625
6,59.8689,1.67906,1.54759,1.27971,0.53245,0.69446,0.56862,0.24348,2.08423,1.83973,1.47272,0.00109531,0.00109531,0.00109531
7,68.8723,1.58746,1.44666,1.22838,0.51557,0.71455,0.56101,0.26344,2.02011,1.81092,1.4202,0.00106437,0.00106437,0.00106437
8,77.3119,1.57144,1.34694,1.20114,0.53538,0.73134,0.57218,0.27013,2.00962,1.90499,1.36633,0.00103344,0.00103344,0.00103344
9,86.0437,1.50989,1.31363,1.18704,0.54144,0.71792,0.56104,0.27838,2.08831,1.87265,1.43825,0.0010025,0.0010025,0.0010025
10,94.3798,1.47616,1.24114,1.17437,0.58347,0.6994,0.57395,0.27353,2.06773,1.82876,1.41316,0.000971562,0.000971562,0.000971562
11,103.321,1.4431,1.2242,1.15559,0.5698,0.68152,0.5665,0.27453,2.0405,2.01726,1.44475,0.000940625,0.000940625,0.000940625
12,111.67,1.41341,1.14211,1.14638,0.53112,0.68187,0.55585,0.27368,1.99607,1.97131,1.37031,0.000909688,0.000909688,0.000909688
