epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0127,2.74665,4.5113,1.867,0.0057,0.29883,0.02009,0.00533,2.42941,3.87128,1.32355,0.000408333,0.000408333,0.000408333
2,22.058,2.28358,2.85766,1.48689,0.41739,0.08473,0.20657,0.06878,2.37576,3.319,1.54818,0.000811388,0.000811388,0.000811388
3,28.5341,2.10969,2.32369,1.44202,0.48029,0.41803,0.37478,0.12991,2.34505,2.6096,1.55778,0.00120069,0.00120069,0.00120069
4,35.5459,2.07034,2.07727,1.42379,0.60929,0.61392,0.63233,0.2388,2.33399,2.25099,1.53241,0.00118812,0.00118812,0.00118812
5,41.8817,1.93469,1.81482,1.38855,0.73675,0.67903,0.71506,0.26903,2.33239,1.7845,1.5807,0.0011675,0.0011675,0.0011675
6,48.48,1.92603,1.66867,1.3731,0.7329,0.76413,0.76434,0.31153,2.25262,1.66098,1.51417,0.00114688,0.00114688,0.00114688
7,54.8384,1.87021,1.60559,1.35354,0.75839,0.64048,0.73707,0.28947,2.39253,1.85639,1.57895,0.00112625,0.00112625,0.00112625
8,61.3139,1.84108,1.52022,1.31768,0.71041,0.69299,0.70778,0.30021,2.25454,1.81156,1.47021,0.00110563,0.00110563,0.00110563
9,67.7286,1.79682,1.42324,1.31371,0.69271,0.72145,0.75263,0.28557,2.18689,1.64548,1.48889,0.001085,0.001085,0.001085
10,74.1614,1.76834,1.39092,1.30038,0.81776,0.73531,0.78663,0.3372,2.26065,1.71247,1.49139,0.00106437,0.00106437,0.00106437
11,80.9276,1.74192,1.31538,1.27685,0.73554,0.64719,0.71328,0.26345,2.43502,1.79775,1.54295,0.00104375,0.00104375,0.00104375
12,87.2863,1.71846,1.3134,1.27298,0.84052,0.75237,0.82218,0.35053,2.1893,1.41533,1.49229,0.00102312,0.00102312,0.00102312
